School,MonthCode,CalMonth,GradeLevel,GradeSort,RosterCount,Absent,Present,Released
01M063,5,Jan,0K,0,38,103,637,0
01M063,5,Jan,PK,-1,25,62,438,0
01M063,6,Feb,1,1,36,43,461,0
01M063,6,Feb,2,2,27,24,354,0
01M063,6,Feb,3,3,28,24,368,0
01M063,6,Feb,4,4,26,23,341,0
01M063,6,Feb,5,5,20,22,258,0
01M063,6,Feb,0K,0,38,40,476,0
01M063,6,Feb,PK,-1,25,30,295,25
01M063,7,Mar,1,1,36,60,732,0
01M063,7,Mar,2,2,27,37,557,0
01M063,7,Mar,3,3,28,29,587,0
01M063,7,Mar,4,4,27,33,539,0
01M063,7,Mar,5,5,21,31,430,0
01M063,7,Mar,0K,0,36,72,720,0
01M063,7,Mar,PK,-1,27,56,516,0
01M063,8,Apr,1,1,36,21,447,0
01M063,8,Apr,2,2,27,11,340,0
01M063,8,Apr,3,3,28,14,350,0
01M063,8,Apr,4,4,26,22,315,0
01M063,8,Apr,5,5,21,20,253,0
01M063,8,Apr,0K,0,36,30,438,0
01M063,8,Apr,PK,-1,27,37,314,0
01M063,9,May,1,1,37,58,749,0
01M063,9,May,2,2,27,32,562,0
01M063,9,May,3,3,28,24,592,0
01M063,9,May,4,4,25,27,523,0
01M063,9,May,5,5,23,40,458,0
01M063,9,May,0K,0,37,63,750,0
01M063,9,May,PK,-1,27,69,525,0
01M063,10,Jun,1,1,38,61,568,0
01M063,10,Jun,2,2,27,29,430,0
01M063,10,Jun,3,3,28,55,421,0
01M063,10,Jun,4,4,25,41,384,0
01M063,10,Jun,5,5,23,52,332,0
01M063,10,Jun,0K,0,37,74,555,0
01M063,10,Jun,PK,-1,27,66,393,0
01M063,1,Sep,1,1,46,28,596,0
01M063,1,Sep,2,2,32,24,418,0
01M063,1,Sep,3,3,33,9,455,0
01M063,1,Sep,4,4,29,20,400,0
01M063,1,Sep,5,5,21,4,316,0
01M063,1,Sep,0K,0,39,49,540,0
01M063,1,Sep,PK,-1,25,32,320,0
01M063,2,Oct,1,1,39,42,609,0
01M063,2,Oct,2,2,28,14,462,0
01M063,2,Oct,3,3,29,15,472,0
01M063,2,Oct,4,4,26,20,422,0
01M063,2,Oct,5,5,21,17,335,0
01M063,2,Oct,0K,0,39,41,607,0
01M063,2,Oct,PK,-1,23,34,340,0
01M063,3,Nov,1,1,37,33,622,0
01M063,3,Nov,2,2,28,19,471,0
01M063,3,Nov,3,3,28,26,478,0
01M063,3,Nov,4,4,26,21,447,0
01M063,3,Nov,5,5,21,17,361,0
01M063,3,Nov,0K,0,38,48,636,0
01M063,3,Nov,PK,-1,22,39,357,0
01M063,4,Dec,1,1,37,37,575,0
01M063,4,Dec,2,2,28,30,429,0
01M063,4,Dec,3,3,28,34,442,0
01M063,4,Dec,4,4,26,26,416,0
01M063,4,Dec,5,5,21,30,327,0
01M063,4,Dec,0K,0,38,64,582,0
01M063,4,Dec,PK,-1,24,41,327,22
01M064,5,Jan,1,1,34,37,642,0
01M064,5,Jan,2,2,37,51,669,0
01M064,5,Jan,3,3,33,40,620,0
01M064,5,Jan,4,4,33,39,619,0
01M064,5,Jan,5,5,45,51,849,0
01M064,5,Jan,0K,0,45,99,799,0
01M064,5,Jan,PK,-1,21,73,347,0
01M064,6,Feb,1,1,34,25,449,0
01M064,6,Feb,2,2,37,42,462,0
01M064,6,Feb,3,3,34,39,421,0
01M064,6,Feb,4,4,33,34,428,0
01M064,6,Feb,5,5,45,42,588,0
01M064,6,Feb,0K,0,45,58,563,0
01M064,6,Feb,PK,-1,21,59,235,0
01M064,7,Mar,1,1,33,82,644,0
01M064,7,Mar,2,2,36,61,731,0
01M064,7,Mar,3,3,33,39,687,0
01M064,7,Mar,4,4,33,50,676,0
01M064,7,Mar,5,5,45,84,906,0
01M064,7,Mar,0K,0,44,117,851,0
01M064,7,Mar,PK,-1,22,107,349,0
01M064,8,Apr,1,1,34,46,391,0
01M064,8,Apr,2,2,36,65,398,0
01M064,8,Apr,3,3,33,35,394,0
01M064,8,Apr,4,4,33,33,396,0
01M064,8,Apr,5,5,45,55,530,0
01M064,8,Apr,0K,0,44,83,489,0
01M064,8,Apr,PK,-1,21,44,229,0
01M064,9,May,1,1,34,64,684,0
01M064,9,May,2,2,35,61,709,0
01M064,9,May,3,3,34,40,686,0
01M064,9,May,4,4,33,46,680,0
01M064,9,May,5,5,45,79,911,0
01M064,9,May,0K,0,44,84,884,0
01M064,9,May,PK,-1,21,79,383,0
01M064,10,Jun,1,1,34,71,507,0
01M064,10,Jun,2,2,35,93,502,0
01M064,10,Jun,3,3,33,58,503,0
01M064,10,Jun,4,4,33,68,493,0
01M064,10,Jun,5,5,45,120,645,0
01M064,10,Jun,0K,0,45,112,636,0
01M064,10,Jun,PK,-1,21,76,281,0
01M064,1,Sep,1,1,37,41,482,0
01M064,1,Sep,2,2,39,32,565,0
01M064,1,Sep,3,3,37,19,505,0
01M064,1,Sep,4,4,36,44,479,0
01M064,1,Sep,5,5,45,31,653,0
01M064,1,Sep,0K,0,50,53,669,0
01M064,1,Sep,PK,-1,21,34,283,0
01M064,2,Oct,1,1,34,32,546,0
01M064,2,Oct,2,2,37,51,578,0
01M064,2,Oct,3,3,33,30,531,0
01M064,2,Oct,4,4,32,26,518,0
01M064,2,Oct,5,5,45,40,707,0
01M064,2,Oct,0K,0,47,64,716,0
01M064,2,Oct,PK,-1,20,43,297,0
01M064,3,Nov,1,1,34,42,561,0
01M064,3,Nov,2,2,37,43,623,0
01M064,3,Nov,3,3,33,46,548,0
01M064,3,Nov,4,4,32,31,545,0
01M064,3,Nov,5,5,44,58,734,0
01M064,3,Nov,0K,0,46,92,713,0
01M064,3,Nov,PK,-1,20,49,311,0
01M064,4,Dec,1,1,33,68,493,0
01M064,4,Dec,2,2,37,71,553,0
01M064,4,Dec,3,3,33,43,518,0
01M064,4,Dec,4,4,32,73,471,0
01M064,4,Dec,5,5,45,76,683,0
01M064,4,Dec,0K,0,44,109,639,0
01M064,4,Dec,PK,-1,21,64,288,0
01M110,5,Jan,1,1,53,62,998,0
01M110,5,Jan,2,2,49,58,922,0
01M110,5,Jan,3,3,62,41,1174,0
01M110,5,Jan,4,4,77,43,1491,0
01M110,5,Jan,5,5,49,48,932,0
01M110,5,Jan,0K,0,63,96,1153,0
01M110,5,Jan,PK,-1,31,51,569,0
01M110,6,Feb,1,1,53,38,704,0
01M110,6,Feb,2,2,49,34,646,0
01M110,6,Feb,3,3,63,47,828,0
01M110,6,Feb,4,4,77,32,1046,0
01M110,6,Feb,5,5,49,24,662,0
01M110,6,Feb,0K,0,62,41,825,0
01M110,6,Feb,PK,-1,31,29,374,31
01M110,7,Mar,1,1,53,37,1129,0
01M110,7,Mar,2,2,48,35,1021,0
01M110,7,Mar,3,3,62,37,1327,0
01M110,7,Mar,4,4,77,84,1610,0
01M110,7,Mar,5,5,49,50,1028,0
01M110,7,Mar,0K,0,64,84,1309,0
01M110,7,Mar,PK,-1,31,74,608,0
01M110,8,Apr,1,1,53,21,668,0
01M110,8,Apr,2,2,48,31,580,0
01M110,8,Apr,3,3,62,26,771,0
01M110,8,Apr,4,4,77,41,951,0
01M110,8,Apr,5,5,49,23,614,0
01M110,8,Apr,0K,0,64,45,787,0
01M110,8,Apr,PK,-1,31,25,370,0
01M110,9,May,1,1,53,58,1108,0
01M110,9,May,2,2,47,44,990,0
01M110,9,May,3,3,61,47,1295,0
01M110,9,May,4,4,76,55,1617,0
01M110,9,May,5,5,49,47,1031,0
01M110,9,May,0K,0,64,83,1311,0
01M110,9,May,PK,-1,30,51,609,0
01M110,10,Jun,1,1,53,59,842,0
01M110,10,Jun,2,2,47,56,743,0
01M110,10,Jun,3,3,61,74,963,0
01M110,10,Jun,4,4,76,81,1211,0
01M110,10,Jun,5,5,49,48,771,0
01M110,10,Jun,0K,0,63,84,987,0
01M110,10,Jun,PK,-1,30,67,443,0
01M110,1,Sep,1,1,55,19,845,0
01M110,1,Sep,2,2,54,24,759,0
01M110,1,Sep,3,3,60,20,923,0
01M110,1,Sep,4,4,85,51,1181,0
01M110,1,Sep,5,5,53,22,777,0
01M110,1,Sep,0K,0,63,35,941,0
01M110,1,Sep,PK,-1,32,27,477,0
